Sample_ID,Sample_Kit_ID,Date,Median_Time_Unix,Median_Time_Local,Local_Timezone,Mean_DO_mg_per_L,DO_sd,Mean_Temp_Deg_C,Temp_sd,Respiration_Rate_mg_DO_per_L_per_H,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Type,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Site_ID,Sample_Latitude_obs,Sample_Longitude_obs,MiniDot_Latitude,MiniDot_Longitude,MiniDot_Start_Time,MiniDot_End_Time,MiniDot_ID,pH,Contact_First_Name,Contact_Last_Name,Organization,Email,Site_Name,Stream_Name,City,State,Country,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,MiniDot_Sediment,Water_Temperature,Water_Depth_cm,Depositional_Type,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,MiniDot_Notes,Additional_Sampling_Notes,Hydrograph_Online,Hydrograph_Other,Water_volume_Flag,Notes,Sample_Longitude_pre,Sample_Latitude_pre,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre,mean.error,predict.error
CM_010-1,CM_010,2022-06-06,1654533720.0,11:42:00,Eastern Standard Time (UTC-5),6.56,0.08,25.62,0.11,-1.79,-6.64,Measured_10mL,0.992,0.991,0.0011614443024007,90,7,1,9.01333333333333,MP-100670,33.666607,-79.8466751,33.666607,-79.8466751,10:54:00,12:15:00,164227.0,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,,Black River,Kingstree,South Carolina,USA,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40.0,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"“Black River” drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes,False,,-79.8466751,33.666607,-3956.123941361111,584.8392325745288,1500.0302004432956
CM_010-2,CM_010,2022-06-06,1654533720.0,11:42:00,Eastern Standard Time (UTC-5),6.56,0.08,25.62,0.11,-1.11,-4.16,Measured_10mL,0.999,0.998,0.000282965634323,120,8,0,8.77333333333333,MP-100670,33.666607,-79.8466751,33.666607,-79.8466751,10:54:00,12:15:00,164227.0,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,,Black River,Kingstree,South Carolina,USA,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40.0,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"“Black River” drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes,False,,-79.8466751,33.666607,-3956.123941361111,584.8392325745288,1500.0302004432956
CM_010-3,CM_010,2022-06-06,1654533720.0,11:42:00,Eastern Standard Time (UTC-5),6.56,0.08,25.62,0.11,-1.53,-5.69,Measured_10mL,0.993,0.992,0.0009421304788319,120,7,0,8.81333333333333,MP-100670,33.666607,-79.8466751,33.666607,-79.8466751,10:54:00,12:15:00,164227.0,6.5,Carl,Trettin,USDA Forest Service,carl.c.trettin@usda.gov,,Black River,Kingstree,South Carolina,USA,"Sunny, Few clouds",Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,25.3,40.0,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,Sensor sitting 10 cm above bottom of stream on rock with second rock holding in place; coordinates of sensor from Google Maps,"“Black River” drains coastal plain; high DOC, sandy sediments, no coarse fragments, algae visible in sediments, no aquatic vegetation, bottomland hardwoods in floodplain",https://water.weather.gov/ahps2/hydrograph.php?gage=kins1&wfo=ilm,Yes,False,,-79.8466751,33.666607,-3956.123941361111,584.8392325745288,1500.0302004432956
CM_013-1,CM_013,2022-07-11,1657551150.0,10:52:30,Eastern Daylight Time (UTC-4),8.83,0.05,24.56,0.31,-10.66,-38.07,Measured_10mL,1.0,1.0,0.0010165329269576,15,4,1,7.89666666666667,SP-1,41.309341,-83.1577589,41.309341,-83.1577589,10:06:00,11:24:00,784311.0,7.0,Laura,Johnson,Heidelberg University,ljohnson@heidelberg.edu,Tindall Bridge,Sandusky River,Ballville,Ohio,USA,Sunny,Perennial,"Broadleaf deciduous tree, Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),24.7,21.25,Shallow waters near the shore,No coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,,"Water was slightly turbid (65.3 NTU), our ProDSS measured 109.7 % sat and 9.10 mg/L DO at start of minidot deployment. Specific Conductivity was 412.2 uS/cm. The filtered water bottle had ~100mL of unfiltered water in it, we went through all the filters.  The sieving was taking too long, so we started to pick out the large bits by hand (mostly snail shells).  Not all the photos fit, here's a link for more: https://www.dropbox.com/sh/386901lt9ci5plt/AAD9jwSM-Lycc65zSz11YRLAa?dl=0. We have 47 years of data from this location- nutrients and TSS.  There's a sonde deployed as well, if you need any diel DO or other details.",https://waterdata.usgs.gov/nwis/uv?04198000,,False,,-83.1577589,41.309341,-663.4046375702981,341.9694185049798,1423.0238077685924
CM_013-2,CM_013,2022-07-11,1657551150.0,10:52:30,Eastern Daylight Time (UTC-4),8.83,0.05,24.56,0.31,-9.79,-35.25,Measured_10mL,0.965,0.948,0.0218101118890317,17,4,0,7.8,SP-1,41.309341,-83.1577589,41.309341,-83.1577589,10:06:00,11:24:00,784311.0,7.0,Laura,Johnson,Heidelberg University,ljohnson@heidelberg.edu,Tindall Bridge,Sandusky River,Ballville,Ohio,USA,Sunny,Perennial,"Broadleaf deciduous tree, Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),24.7,21.25,Shallow waters near the shore,No coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,,"Water was slightly turbid (65.3 NTU), our ProDSS measured 109.7 % sat and 9.10 mg/L DO at start of minidot deployment. Specific Conductivity was 412.2 uS/cm. The filtered water bottle had ~100mL of unfiltered water in it, we went through all the filters.  The sieving was taking too long, so we started to pick out the large bits by hand (mostly snail shells).  Not all the photos fit, here's a link for more: https://www.dropbox.com/sh/386901lt9ci5plt/AAD9jwSM-Lycc65zSz11YRLAa?dl=0. We have 47 years of data from this location- nutrients and TSS.  There's a sonde deployed as well, if you need any diel DO or other details.",https://waterdata.usgs.gov/nwis/uv?04198000,,False,,-83.1577589,41.309341,-663.4046375702981,341.9694185049798,1423.0238077685924
CM_013-3,CM_013,2022-07-11,1657551150.0,10:52:30,Eastern Daylight Time (UTC-4),8.83,0.05,24.56,0.31,-11.12,-39.92,Measured_10mL,0.996,0.993,0.0087906516001691,15,4,0,7.59666666666667,SP-1,41.309341,-83.1577589,41.309341,-83.1577589,10:06:00,11:24:00,784311.0,7.0,Laura,Johnson,Heidelberg University,ljohnson@heidelberg.edu,Tindall Bridge,Sandusky River,Ballville,Ohio,USA,Sunny,Perennial,"Broadleaf deciduous tree, Shrub, Grass",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),24.7,21.25,Shallow waters near the shore,No coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,,"Water was slightly turbid (65.3 NTU), our ProDSS measured 109.7 % sat and 9.10 mg/L DO at start of minidot deployment. Specific Conductivity was 412.2 uS/cm. The filtered water bottle had ~100mL of unfiltered water in it, we went through all the filters.  The sieving was taking too long, so we started to pick out the large bits by hand (mostly snail shells).  Not all the photos fit, here's a link for more: https://www.dropbox.com/sh/386901lt9ci5plt/AAD9jwSM-Lycc65zSz11YRLAa?dl=0. We have 47 years of data from this location- nutrients and TSS.  There's a sonde deployed as well, if you need any diel DO or other details.",https://waterdata.usgs.gov/nwis/uv?04198000,,False,,-83.1577589,41.309341,-663.4046375702981,341.9694185049798,1423.0238077685924
CM_014-1,CM_014,2022-06-13,1655136030.0,12:00:30,Eastern Daylight Time (UTC-4),5.24,0.09,27.92,0.25,-12.8,-46.59,Measured_10mL,1.0,-9999.0,-9999.0,6,2,0,7.06333333333333,MP-100656,35.3667814,-77.4402867,35.3667814,-77.4402867,11:10:00,12:36:00,449867.0,6.5,Marcelo,Ardon,NC State University,mlardons@ncsu.edu,,Contentnea Creek,Grifton,North Carolina,USA,"Sunny, 89 degrees F",Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28.0,94.0,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor was deployed at 50% of the water column using a PVC pipe.,,https://waterdata.usgs.gov/nwis/uv?site_no=02091500,Yes,False,,-77.4402867,35.3667814,-595.9624136169383,350.8256948640328,1425.1780037807282
CM_014-2,CM_014,2022-06-13,1655136030.0,12:00:30,Eastern Daylight Time (UTC-4),5.24,0.09,27.92,0.25,-15.22,-56.28,Measured_10mL,0.982,0.964,0.0344485660616476,10,3,0,7.30666666666667,MP-100656,35.3667814,-77.4402867,35.3667814,-77.4402867,11:10:00,12:36:00,449867.0,6.5,Marcelo,Ardon,NC State University,mlardons@ncsu.edu,,Contentnea Creek,Grifton,North Carolina,USA,"Sunny, 89 degrees F",Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28.0,94.0,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor was deployed at 50% of the water column using a PVC pipe.,,https://waterdata.usgs.gov/nwis/uv?site_no=02091500,Yes,False,,-77.4402867,35.3667814,-595.9624136169383,350.8256948640328,1425.1780037807282
CM_014-3,CM_014,2022-06-13,1655136030.0,12:00:30,Eastern Daylight Time (UTC-4),5.24,0.09,27.92,0.25,-8.81,-32.54,Measured_10mL,0.999,0.998,0.004187375578738,11,3,0,7.28333333333333,MP-100656,35.3667814,-77.4402867,35.3667814,-77.4402867,11:10:00,12:36:00,449867.0,6.5,Marcelo,Ardon,NC State University,mlardons@ncsu.edu,,Contentnea Creek,Grifton,North Carolina,USA,"Sunny, 89 degrees F",Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,28.0,94.0,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor was deployed at 50% of the water column using a PVC pipe.,,https://waterdata.usgs.gov/nwis/uv?site_no=02091500,Yes,False,,-77.4402867,35.3667814,-595.9624136169383,350.8256948640328,1425.1780037807282
CM_021-1,CM_021,9/5/2022,1662412830.0,14:20:30,Mountain Standard Time (UTC-7),4.9,0.03,32.44,0.19,-1.55,-5.78,Measured_10mL,0.987,0.984,0.0013296645210897,90,7,1,8.42666666666667,SP-10,32.3504894,-111.0953268,32.3504894,-111.0953268,13:43:00,14:43:00,135727.0,7.0,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,USA,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.0,25.0,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,,False,,-111.0953268,32.3504894,-2233.870390059536,309.9111673202349,1415.6618967512618
CM_021-2,CM_021,9/5/2022,1662412830.0,14:20:30,Mountain Standard Time (UTC-7),4.9,0.03,32.44,0.19,-1.11,-4.15,Measured_10mL,0.963,0.955,0.0016324577395211,115,7,1,,SP-10,32.3504894,-111.0953268,32.3504894,-111.0953268,13:43:00,14:43:00,135727.0,7.0,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,USA,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.0,25.0,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,,False,,-111.0953268,32.3504894,-2233.870390059536,309.9111673202349,1415.6618967512618
CM_021-3,CM_021,9/5/2022,1662412830.0,14:20:30,Mountain Standard Time (UTC-7),4.9,0.03,32.44,0.19,-1.55,-5.71,Measured_10mL,0.914,0.9,0.0032289183539767,120,8,0,8.64,SP-10,32.3504894,-111.0953268,32.3504894,-111.0953268,13:43:00,14:43:00,135727.0,7.0,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,USA,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.0,25.0,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,,False,,-111.0953268,32.3504894,-2233.870390059536,309.9111673202349,1415.6618967512618
CM_035-2,CM_035,2022-10-17,1666025220.0,11:47:00,Central Daylight Time (UTC-5),13.71,0.29,7.86,0.45,-838.4,-3023.27,Theoretical,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,1.51333333333333,SP-6,45.084433,-92.785556,45.084433,-92.785556,10:31:00,12:44:00,284528.0,6.5,Cara,Santelli,University of Minnesota,santelli@umn.edu,St. Croix Boom Site,St. Croix,Stillwater,Minnesota,USA,Overcast,Perennial,"Broadleaf deciduous tree, Grass",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Sand,5.0,16.0,Inside bend of stream,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,,I'm sorry but I totally forgot to take the first picture!  I think my brain froze in the ridiculously cold weather!,,No,False,,-92.785556,45.084433,-1720.5933823359965,277.7479625652662,1408.9704060031731
CM_035-3,CM_035,2022-10-17,1666025220.0,11:47:00,Central Daylight Time (UTC-5),13.71,0.29,7.86,0.45,-767.6,-2757.22,Theoretical,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,2.10333333333333,SP-6,45.084433,-92.785556,45.084433,-92.785556,10:31:00,12:44:00,284528.0,6.5,Cara,Santelli,University of Minnesota,santelli@umn.edu,St. Croix Boom Site,St. Croix,Stillwater,Minnesota,USA,Overcast,Perennial,"Broadleaf deciduous tree, Grass",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Sand,5.0,16.0,Inside bend of stream,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,,I'm sorry but I totally forgot to take the first picture!  I think my brain froze in the ridiculously cold weather!,,No,False,,-92.785556,45.084433,-1720.5933823359965,277.7479625652662,1408.9704060031731
